ANO_ELEICAO,SIGLA_UF,NOME_MUNICIPIO,NOME_CANDIDATO,SIGLA_PARTIDO,NUMERO_CAND,TOTAL_VOTOS
2014,MG,BELO HORIZONTE,IARA SOFIA ALVES ESTEVES,PV,4315,0
2014,MG,BELO HORIZONTE,ILANA ARAUJO ALVES SOARES,PMDB,1540,76
2014,MG,BELO HORIZONTE,ILDEIA OTONI RIBEIRO,PPS,2328,283
2014,MG,BELO HORIZONTE,IRACI CHAVES MAURICIO VIGO,PTC,3652,17
2014,MG,BELO HORIZONTE,IRIS FERREIRA CHAVES,PSB,4069,731
2014,MG,BELO HORIZONTE,ISAIAS SILVESTRE,PSB,4077,6340
2014,MG,BELO HORIZONTE,ITALO HENRIQUE CASTELO BRANCO MUNIZ,DEM,2545,202
2014,MG,BELO HORIZONTE,IZABELA LUIZA SILVA,PPS,2310,20
2014,MG,BELO HORIZONTE,IZABELLA LOURENCA AMORIM ROMUALDO,PSTU,1610,610
2014,MG,BELO HORIZONTE,JACINTA DOS SANTOS PINTO,PSD,5509,5
2014,MG,BELO HORIZONTE,JACKSON EDUARDO DA SILVA,PTC,3672,93
2014,MG,BELO HORIZONTE,JAIME MARTINS FILHO,PSD,5550,1818
2014,MG,BELO HORIZONTE,JAIRO ATAIDE VIEIRA,DEM,2525,447
2014,MG,BELO HORIZONTE,JAKSON AMAURI AUGUSTO,PV,4384,271
2014,MG,BELO HORIZONTE,JAMIR MOREIRA DE ANDRADE,PMDB,1569,17
2014,MG,BELO HORIZONTE,JANDER MUNIZ FILARETTI,PTB,1440,1528
2014,MG,BELO HORIZONTE,JANETE DE OLIVEIRA CHAGAS CAMPOS,PDT,1252,20
2014,MG,BELO HORIZONTE,JANIO RODRIGUES DOS SANTOS,PTN,1911,51
2014,MG,BELO HORIZONTE,JAQUELINE TOMAZ DA SILVA BERNARDES,PMN,3394,3
2014,MG,BELO HORIZONTE,JARI TRINDADE MENDONCA,PT do B,7015,46
2014,MG,BELO HORIZONTE,JEFFERSON BASTOS GONCALVES,PSL,1780,79
2014,MG,BELO HORIZONTE,JEFFERSON RODRIGUES FARIA,PDT,1299,11
2014,MG,BELO HORIZONTE,JESSICA LEITE NICOLAI,PCB,2132,146
2014,MG,BELO HORIZONTE,JESSICA REJANE PEREIRA VIANA,PSOL,5005,384
2014,MG,BELO HORIZONTE,JOAO ALVES PEREIRA,PROS,9088,13
2014,MG,BELO HORIZONTE,JOAO BATISTA FERREIRA ARAUJO,PSDB,4511,778
2014,MG,BELO HORIZONTE,JOAO CARLOS BEREGENO JUNIOR,PSL,1740,8
2014,MG,BELO HORIZONTE,JOAO CARLOS SIQUEIRA,PT,1315,4322
2014,MG,BELO HORIZONTE,JOAO FRANCISCO SOUZA NETO,PMN,3345,154
2014,MG,BELO HORIZONTE,JOAO GOMES DA SILVA,PTC,3640,25
2014,MG,BELO HORIZONTE,JOAO JACIEL PEREIRA,PT do B,7088,0
2014,MG,BELO HORIZONTE,JOAQUIM DE OLIVEIRA SA FILHO,PT do B,7030,27
2014,MG,BELO HORIZONTE,JOICE DOS SANTOS MANGABEIRA,PSDB,4587,197
2014,MG,BELO HORIZONTE,JORCELINO CARDOSO SOARES,PTB,1422,135
2014,MG,BELO HORIZONTE,JORDANO CARVALHO DOS SANTOS,PSTU,1600,82
2014,MG,BELO HORIZONTE,JORGE NUNES PAULUCI,PT,1302,166
2014,MG,BELO HORIZONTE,JORGE TARCISIO TORQUATO,PSOL,5044,0
2014,MG,BELO HORIZONTE,JOSE ANASTACIO DE CARVALHO SILVA FILHO,PSB,4088,72
2014,MG,BELO HORIZONTE,JOSE ANTONIO PRATES,PHS,3123,551
2014,MG,BELO HORIZONTE,JOSE ANTONIO TEIXEIRA DE MENDONCA,PSL,1770,188
2014,MG,BELO HORIZONTE,JOSE ATALIBA CARDOSO MEIRA,PRP,4445,30
2014,MG,BELO HORIZONTE,JOSE BONOMO NETO,PT,1347,0
2014,MG,BELO HORIZONTE,JOSE CARLOS DE SOUZA,PSC,2033,0
2014,MG,BELO HORIZONTE,JOSE CARLOS FERREIRA,PTN,1921,207
2014,MG,BELO HORIZONTE,JOSE CARLOS NETO,PTB,1466,721
2014,MG,BELO HORIZONTE,JOSE DE ARAUJO GUEDES,PMDB,1591,224
2014,MG,BELO HORIZONTE,JOSE DO CARMO DE LIMA BARBOSA,PSC,2012,89
2014,MG,BELO HORIZONTE,JOSE FRANCISCO MOREIRA JORDAO,PRB,1013,8
2014,MG,BELO HORIZONTE,JOSE GERALDO MENDES DA SILVA,PMDB,1561,408
2014,MG,BELO HORIZONTE,JOSE GOMES DA FONSECA,PT do B,7074,299
2014,MG,BELO HORIZONTE,JOSE HUMBERTO SOARES,PSD,5521,608
